<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AFLT,D,20050111,000000,35.0000000,35.0000000,34.3000000,34.3500000,50139
AFLT,D,20050112,000000,34.3500000,34.7500000,32.5700000,33.8100000,72781
AFLT,D,20050113,000000,32.8100000,34.2000000,31.5100000,34.1000000,46226
AFLT,D,20050114,000000,34.2000000,34.8000000,34.0000000,34.2200000,41555
AFLT,D,20050117,000000,34.2200000,34.7000000,34.0000000,34.0100000,38009
AFLT,D,20050118,000000,34.3500000,34.4500000,33.0000000,33.2100000,38485
AFLT,D,20050119,000000,33.1100000,33.9500000,32.5000000,33.9000000,27944
AFLT,D,20050120,000000,34.0000000,34.1900000,33.0500000,33.3500000,4853
AFLT,D,20050121,000000,33.7000000,33.7000000,32.9500000,33.5500000,2459
AFLT,D,20050124,000000,33.5500000,33.6500000,32.6500000,33.2000000,12263
AFLT,D,20050125,000000,32.7500000,34.5000000,32.7500000,33.5500000,50432
AFLT,D,20050126,000000,34.2000000,34.2000000,33.3000000,33.3200000,42614
AFLT,D,20050127,000000,33.2300000,34.4000000,33.2300000,34.1000000,171262
AFLT,D,20050128,000000,34.1900000,34.8000000,34.0100000,34.7900000,17434
AFLT,D,20050131,000000,34.5200000,36.5000000,34.5200000,36.2300000,370603
AFLT,D,20050201,000000,36.2000000,38.3000000,36.0600000,37.8800000,413326
AFLT,D,20050202,000000,37.4600000,44.4000000,37.4500000,41.1900000,1004456
AFLT,D,20050203,000000,40.8500000,48.2000000,40.2000000,47.0000000,876526
AFLT,D,20050204,000000,47.0000000,48.3900000,43.2500000,45.3000000,233177
AFLT,D,20050207,000000,45.3000000,45.9000000,44.0000000,44.4900000,56444
AFLT,D,20050208,000000,44.7500000,45.3000000,43.8000000,44.2100000,348191
AFLT,D,20050209,000000,44.0000000,44.0000000,42.0200000,43.5500000,61258
AFLT,D,20050210,000000,43.8000000,43.8000000,37.0000000,39.1500000,410700
AFLT,D,20050211,000000,39.5000000,39.5000000,38.1100000,38.8000000,35237
AFLT,D,20050214,000000,39.0000000,41.9900000,38.6600000,39.9000000,135873
AFLT,D,20050215,000000,40.0000000,41.6900000,40.0000000,41.0900000,37764
AFLT,D,20050216,000000,41.9900000,41.9900000,40.4100000,40.7000000,56154
AFLT,D,20050217,000000,40.5900000,41.2600000,40.0100000,40.0200000,25204
AFLT,D,20050218,000000,40.6700000,40.9600000,40.0000000,40.4500000,25329
AFLT,D,20050221,000000,40.7000000,40.7000000,39.7200000,40.0000000,32451
AFLT,D,20050222,000000,39.8500000,40.4000000,39.0600000,40.2000000,50495
AFLT,D,20050224,000000,40.4400000,43.0000000,40.1100000,41.8000000,194026
AFLT,D,20050225,000000,42.8900000,42.8900000,40.1300000,40.5000000,154891
AFLT,D,20050228,000000,40.3900000,40.9900000,40.3200000,40.6900000,51820
AFLT,D,20050301,000000,40.8000000,40.8000000,39.7000000,40.1500000,55235
AFLT,D,20050302,000000,40.0400000,40.6500000,40.0400000,40.1000000,43701
AFLT,D,20050303,000000,40.3000000,41.8300000,40.1600000,41.1400000,80093
AFLT,D,20050304,000000,41.5000000,41.9000000,41.0000000,41.7200000,50109
AFLT,D,20050305,000000,41.7000000,41.7000000,41.1600000,41.6000000,17054
AFLT,D,20050309,000000,41.7000000,41.7000000,40.2000000,40.9000000,77866
AFLT,D,20050310,000000,40.5700000,40.6700000,39.6500000,40.4000000,76838
AFLT,D,20050311,000000,40.3600000,40.7000000,39.8000000,40.0000000,45420
AFLT,D,20050314,000000,40.0500000,40.5900000,39.6100000,40.1000000,38213
AFLT,D,20050315,000000,40.1200000,41.0000000,39.6600000,40.5000000,93712
AFLT,D,20050316,000000,40.5900000,41.1900000,40.0000000,40.2200000,62807
AFLT,D,20050317,000000,40.2500000,41.2000000,40.1100000,40.6500000,34197
AFLT,D,20050318,000000,40.8500000,41.3000000,40.4000000,41.2000000,125193
AFLT,D,20050321,000000,41.2000000,42.8900000,41.0800000,41.5400000,61029
AFLT,D,20050322,000000,41.4200000,42.3000000,40.0000000,41.7400000,52614
AFLT,D,20050323,000000,42.0000000,42.0000000,40.5100000,41.4800000,30707
AFLT,D,20050324,000000,41.4800000,43.4500000,41.4800000,42.9000000,118641
AFLT,D,20050325,000000,43.0000000,45.7000000,43.0000000,45.5000000,361563
AFLT,D,20050328,000000,45.5100000,45.6000000,43.5300000,44.0000000,43940
AFLT,D,20050329,000000,44.5900000,44.6400000,43.2300000,43.4700000,107381
AFLT,D,20050330,000000,43.4400000,43.4500000,42.6000000,43.3800000,52338
AFLT,D,20050331,000000,43.4500000,44.4700000,42.7000000,43.1000000,69012
AFLT,D,20050401,000000,43.1800000,43.5000000,42.7500000,43.4000000,37338
AFLT,D,20050404,000000,43.2000000,44.0000000,43.0000000,43.0000000,52505
AFLT,D,20050405,000000,43.0100000,43.8000000,43.0100000,43.7000000,46409
AFLT,D,20050406,000000,43.8400000,43.9900000,43.3000000,43.7900000,42281
AFLT,D,20050407,000000,43.4300000,44.8000000,43.4000000,43.5000000,63379
AFLT,D,20050408,000000,43.4000000,43.8000000,43.3000000,43.5000000,32114
AFLT,D,20050411,000000,43.5000000,43.5000000,41.5100000,42.5900000,26326
AFLT,D,20050412,000000,42.6200000,42.9500000,42.3000000,42.8700000,6235
AFLT,D,20050413,000000,42.8700000,43.2400000,42.5000000,42.9000000,43750
AFLT,D,20050414,000000,43.2400000,43.2400000,42.3300000,42.9800000,22375
AFLT,D,20050415,000000,42.9900000,42.9900000,42.3600000,42.8000000,28967
AFLT,D,20050418,000000,42.8400000,42.8400000,41.7100000,42.3000000,50610
AFLT,D,20050419,000000,42.1900000,43.0000000,42.0000000,42.9000000,58475
AFLT,D,20050420,000000,43.4400000,43.4400000,42.3200000,42.4500000,27738
AFLT,D,20050421,000000,42.9200000,42.9200000,42.2400000,42.3900000,10832
AFLT,D,20050422,000000,43.0000000,43.0000000,42.0000000,42.5900000,20942
AFLT,D,20050425,000000,42.3100000,42.4900000,42.0100000,42.0300000,13791
AFLT,D,20050426,000000,42.4800000,42.5000000,40.9000000,41.9000000,36922
AFLT,D,20050427,000000,41.2300000,42.0000000,41.1000000,41.4100000,24964
AFLT,D,20050428,000000,41.9900000,41.9900000,41.0000000,41.2800000,9776
AFLT,D,20050429,000000,41.7600000,41.8000000,40.6500000,41.3500000,42303
AFLT,D,20050503,000000,41.7500000,41.8000000,39.0100000,40.9400000,7157
AFLT,D,20050504,000000,40.3500000,41.3500000,40.0300000,40.7100000,36804
AFLT,D,20050505,000000,40.8900000,41.8000000,40.8900000,41.7500000,32432
AFLT,D,20050506,000000,41.9700000,41.9800000,41.0000000,41.6400000,17756
AFLT,D,20050511,000000,41.9600000,42.0000000,41.2500000,41.4900000,46736
AFLT,D,20050512,000000,41.5100000,41.9900000,40.8600000,41.3000000,87904
AFLT,D,20050513,000000,41.5900000,43.5900000,41.3900000,43.5900000,35092
AFLT,D,20050514,000000,43.4700000,43.4700000,42.0000000,42.2900000,17450
AFLT,D,20050516,000000,42.3000000,42.5000000,41.9000000,42.0000000,99735
AFLT,D,20050517,000000,41.7300000,42.9900000,40.9000000,42.9900000,54674
AFLT,D,20050518,000000,43.8900000,43.8900000,42.3000000,42.5000000,2017
AFLT,D,20050519,000000,43.0000000,43.0000000,42.2000000,42.2000000,2211
AFLT,D,20050520,000000,42.3000000,42.6000000,41.5300000,41.6000000,4832
AFLT,D,20050523,000000,42.4700000,42.4700000,41.9900000,42.0000000,7527
AFLT,D,20050524,000000,41.7100000,43.0000000,41.6100000,42.5700000,51914
AFLT,D,20050525,000000,43.2000000,43.2000000,41.6000000,42.1700000,12565
AFLT,D,20050526,000000,42.4700000,42.4700000,42.0000000,42.0600000,9206
AFLT,D,20050527,000000,42.3900000,43.0000000,41.0300000,42.7000000,38502
AFLT,D,20050530,000000,43.0000000,43.0000000,42.2000000,42.4000000,32896
AFLT,D,20050531,000000,42.5000000,42.5000000,41.6000000,41.9900000,47925
AFLT,D,20050601,000000,42.0000000,42.3900000,41.5000000,42.3900000,24199
AFLT,D,20050602,000000,42.1000000,42.4500000,41.9400000,42.2000000,7573
AFLT,D,20050603,000000,42.0000000,42.1000000,41.9000000,41.9500000,566
AFLT,D,20050606,000000,42.1800000,42.3800000,41.6700000,41.9000000,27099
AFLT,D,20050607,000000,42.1900000,42.1900000,41.6500000,41.9700000,13592
AFLT,D,20050608,000000,41.9300000,42.0000000,41.5500000,41.9800000,12733
AFLT,D,20050609,000000,41.9700000,42.0000000,41.6000000,41.8500000,21178
AFLT,D,20050610,000000,41.9000000,41.9000000,41.5000000,41.8500000,15057
AFLT,D,20050614,000000,41.9900000,43.4900000,41.8500000,42.1600000,102262
AFLT,D,20050615,000000,42.7300000,42.7400000,42.0300000,42.5000000,4955
AFLT,D,20050616,000000,42.8900000,42.8900000,42.0000000,42.2700000,17861
AFLT,D,20050617,000000,42.2900000,42.5800000,41.7600000,42.5000000,28915
AFLT,D,20050620,000000,42.7800000,42.7800000,42.1200000,42.2900000,6004
AFLT,D,20050621,000000,42.4700000,42.4700000,42.0000000,42.3800000,2553
AFLT,D,20050622,000000,42.3700000,42.3700000,42.0100000,42.3000000,5185
AFLT,D,20050623,000000,42.6900000,42.6900000,42.0300000,42.2000000,3043
AFLT,D,20050624,000000,42.3000000,42.5000000,41.7100000,42.3300000,9499
AFLT,D,20050627,000000,42.2300000,42.2300000,41.2400000,41.9800000,19446
AFLT,D,20050628,000000,41.9700000,42.1000000,41.7700000,42.0500000,3081
AFLT,D,20050629,000000,42.0000000,42.5000000,41.9100000,42.2900000,28040
AFLT,D,20050630,000000,42.4900000,42.4900000,41.9200000,42.2900000,3559
AFLT,D,20050701,000000,42.1700000,42.5100000,41.9300000,42.5100000,54379
AFLT,D,20050704,000000,42.8400000,42.8400000,42.2000000,42.2000000,11103
AFLT,D,20050705,000000,42.5700000,42.6000000,41.9100000,42.2000000,27293
AFLT,D,20050706,000000,42.2000000,42.6000000,42.0000000,42.4300000,37670
AFLT,D,20050707,000000,42.4000000,42.8300000,42.2100000,42.5000000,29865
AFLT,D,20050708,000000,42.1600000,43.2500000,42.1600000,43.1000000,86117
AFLT,D,20050711,000000,43.3500000,43.3500000,42.6300000,43.0000000,31142
AFLT,D,20050712,000000,43.0000000,43.3200000,42.4000000,42.9700000,38431
AFLT,D,20050713,000000,42.7000000,43.1500000,42.5300000,42.7500000,38489
AFLT,D,20050714,000000,42.9900000,43.0000000,42.5100000,42.8000000,33303
AFLT,D,20050715,000000,43.0900000,44.2500000,42.5200000,44.0000000,209382
AFLT,D,20050718,000000,44.0000000,44.9500000,43.2600000,43.6700000,19567
AFLT,D,20050719,000000,43.6700000,43.7000000,43.2000000,43.6600000,12591
AFLT,D,20050720,000000,43.7500000,44.0500000,43.5500000,43.8000000,30970
AFLT,D,20050721,000000,44.0000000,44.1000000,43.0200000,43.6500000,11803
AFLT,D,20050722,000000,43.5700000,43.9500000,43.0000000,43.2000000,15933
AFLT,D,20050725,000000,43.7500000,43.7500000,43.2000000,43.4700000,15095
AFLT,D,20050726,000000,43.2700000,43.5600000,42.9000000,42.9100000,14156
AFLT,D,20050727,000000,42.8600000,43.3400000,42.0100000,42.0100000,32092
AFLT,D,20050728,000000,42.3800000,42.3800000,41.8700000,42.0700000,13043
AFLT,D,20050729,000000,42.1800000,43.5000000,42.0000000,42.2900000,87655
AFLT,D,20050801,000000,42.0400000,42.6500000,41.9900000,42.4000000,24112
AFLT,D,20050802,000000,42.6500000,42.9900000,42.4000000,42.9400000,38978
AFLT,D,20050803,000000,42.9700000,42.9800000,42.6500000,42.6500000,70483
AFLT,D,20050804,000000,42.9900000,42.9900000,42.4500000,42.7700000,11254
AFLT,D,20050805,000000,43.0000000,43.0000000,42.3500000,42.3800000,37561
AFLT,D,20050808,000000,44.0000000,44.0000000,42.2500000,42.4500000,29813
AFLT,D,20050809,000000,43.6900000,43.6900000,41.9700000,42.2500000,75648
AFLT,D,20050810,000000,42.4400000,42.4500000,42.0500000,42.1600000,24854
AFLT,D,20050811,000000,42.6400000,42.6400000,41.0000000,41.9800000,37862
AFLT,D,20050812,000000,41.9900000,42.0000000,41.3000000,41.7700000,40127
AFLT,D,20050815,000000,41.8700000,42.1000000,41.6000000,41.6000000,144644
AFLT,D,20050816,000000,41.6000000,42.2000000,41.6000000,42.0000000,307363
AFLT,D,20050817,000000,42.0000000,42.1000000,41.9000000,42.0800000,114291
AFLT,D,20050818,000000,42.0000000,42.0000000,40.0000000,41.7000000,74071
AFLT,D,20050819,000000,41.8000000,42.1000000,41.6000000,42.0900000,41375
AFLT,D,20050822,000000,42.1000000,42.7000000,42.0000000,42.0000000,78845
AFLT,D,20050823,000000,42.1000000,42.2000000,41.1000000,41.7100000,41426
AFLT,D,20050824,000000,41.7600000,42.1600000,41.7000000,42.1400000,31717
AFLT,D,20050825,000000,41.5000000,41.9800000,41.5000000,41.7000000,13886
AFLT,D,20050826,000000,42.0000000,42.0000000,41.7500000,41.7500000,26160
AFLT,D,20050829,000000,41.6200000,41.9700000,41.5100000,41.5200000,40813
AFLT,D,20050830,000000,41.6000000,41.9900000,41.5500000,41.6900000,8693
AFLT,D,20050831,000000,41.7000000,41.7000000,40.6100000,41.4000000,31640
AFLT,D,20050901,000000,41.5000000,41.7500000,41.5000000,41.5800000,8419
AFLT,D,20050902,000000,41.0100000,41.6400000,41.0100000,41.4900000,50951
AFLT,D,20050905,000000,41.4800000,41.4800000,40.2100000,40.9900000,44105
AFLT,D,20050906,000000,41.0000000,41.0200000,39.8500000,40.1700000,59897
AFLT,D,20050907,000000,40.1400000,40.3800000,37.9800000,38.2500000,190257
AFLT,D,20050908,000000,38.3000000,38.9000000,37.8000000,38.6500000,76628
AFLT,D,20050909,000000,38.6500000,39.8700000,38.1100000,39.7000000,99860
AFLT,D,20050912,000000,39.5000000,39.8500000,38.7100000,39.6900000,99757
AFLT,D,20050913,000000,39.1200000,39.6000000,38.7500000,39.3700000,18233
AFLT,D,20050914,000000,39.5900000,39.5900000,38.6000000,39.2000000,10983
AFLT,D,20050915,000000,38.7200000,39.7000000,38.7200000,39.2000000,7089
AFLT,D,20050916,000000,39.5900000,39.5900000,38.7200000,38.7500000,18887
AFLT,D,20050919,000000,39.4900000,39.5000000,38.3100000,38.6400000,39723
AFLT,D,20050920,000000,38.4100000,38.6800000,38.0500000,38.2700000,49795
AFLT,D,20050921,000000,38.4000000,38.6000000,38.1500000,38.5500000,14083
AFLT,D,20050922,000000,38.5000000,40.5000000,38.1100000,39.4800000,358755
AFLT,D,20050923,000000,39.6000000,40.8600000,39.6000000,40.1500000,78023
AFLT,D,20050926,000000,40.2500000,40.2500000,39.7600000,40.1000000,54979
AFLT,D,20050927,000000,40.0000000,41.4900000,40.0000000,41.4900000,115999
AFLT,D,20050928,000000,41.0200000,42.0000000,40.5000000,41.9000000,199477
AFLT,D,20050929,000000,41.7900000,41.7900000,40.2100000,40.7500000,39647
AFLT,D,20050930,000000,40.2100000,40.8500000,40.2100000,40.8000000,49634
AFLT,D,20051003,000000,41.0400000,41.2000000,40.3000000,41.0000000,43807
AFLT,D,20051004,000000,41.2700000,41.7400000,40.7500000,41.6900000,325668
AFLT,D,20051005,000000,41.1100000,41.4000000,40.7500000,40.7500000,64252
AFLT,D,20051006,000000,40.7500000,40.8000000,38.5500000,39.8000000,86872
AFLT,D,20051007,000000,39.8000000,40.4900000,38.9000000,39.8000000,22176
AFLT,D,20051010,000000,40.1000000,40.3800000,39.0000000,39.9000000,7913
AFLT,D,20051011,000000,39.8000000,40.1100000,39.0400000,40.0000000,23563
AFLT,D,20051012,000000,40.0000000,40.5000000,38.9000000,39.2000000,59774
AFLT,D,20051013,000000,38.6600000,39.0000000,38.3100000,38.8900000,44898
AFLT,D,20051014,000000,38.6100000,38.7500000,38.0000000,38.2000000,78564
AFLT,D,20051017,000000,38.6000000,38.6000000,38.0000000,38.3000000,64150
AFLT,D,20051018,000000,38.5800000,39.2000000,38.1000000,38.2000000,16482
