<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GMKN,D,20050111,000000,1449.5000000,1520.0000000,1430.0000000,1455.5000000,497706
GMKN,D,20050112,000000,1455.0000000,1484.9900000,1416.0000000,1440.5000000,430278
GMKN,D,20050113,000000,1442.0000000,1460.0000000,1420.1100000,1432.0000000,277406
GMKN,D,20050114,000000,1476.0000000,1510.0000000,1425.0000000,1470.0100000,424326
GMKN,D,20050117,000000,1460.0000000,1539.9500000,1460.0000000,1469.0000000,620316
GMKN,D,20050118,000000,1474.3500000,1500.0000000,1425.0000000,1441.0000000,660162
GMKN,D,20050119,000000,1445.0000000,1487.4900000,1430.0000000,1487.4900000,513702
GMKN,D,20050120,000000,1491.9000000,1491.9000000,1436.0000000,1454.5000000,677144
GMKN,D,20050121,000000,1454.0000000,1490.0000000,1446.5500000,1481.5000000,318785
GMKN,D,20050124,000000,1500.0000000,1535.0000000,1484.0000000,1534.5000000,601142
GMKN,D,20050125,000000,1541.0000000,1567.0000000,1525.0000000,1545.0000000,913451
GMKN,D,20050126,000000,1544.9000000,1559.4800000,1521.0200000,1538.7000000,446549
GMKN,D,20050127,000000,1540.0100000,1565.3000000,1531.0000000,1558.0000000,433273
GMKN,D,20050128,000000,1555.0000000,1631.9900000,1544.9800000,1625.0000000,998903
GMKN,D,20050131,000000,1627.0000000,1674.0000000,1591.0000000,1614.0000000,906716
GMKN,D,20050201,000000,1614.5000000,1649.6300000,1603.0600000,1641.7000000,816699
GMKN,D,20050202,000000,1638.5100000,1672.4400000,1635.0000000,1645.0100000,756144
GMKN,D,20050203,000000,1649.9000000,1663.0000000,1637.0000000,1641.0000000,574955
GMKN,D,20050204,000000,1641.0000000,1649.5000000,1618.1000000,1636.6300000,488700
GMKN,D,20050207,000000,1640.2000000,1655.0000000,1605.7000000,1607.0000000,596992
GMKN,D,20050208,000000,1607.0000000,1638.9000000,1583.1000000,1632.0200000,505085
GMKN,D,20050209,000000,1642.0000000,1655.0000000,1607.7700000,1615.0000000,722763
GMKN,D,20050210,000000,1615.0000000,1624.9900000,1592.1100000,1624.9900000,458951
GMKN,D,20050211,000000,1625.2000000,1633.9900000,1593.0000000,1604.0000000,514801
GMKN,D,20050214,000000,1605.0000000,1615.0000000,1585.0000000,1591.0000000,354982
GMKN,D,20050215,000000,1586.1200000,1620.0000000,1584.0000000,1619.0000000,363263
GMKN,D,20050216,000000,1621.7000000,1641.9000000,1619.0000000,1633.0000000,325760
GMKN,D,20050217,000000,1638.8800000,1650.0000000,1635.0700000,1643.6400000,271431
GMKN,D,20050218,000000,1643.0100000,1652.0000000,1627.0000000,1638.0000000,447429
GMKN,D,20050221,000000,1641.1100000,1668.4900000,1640.0100000,1665.9000000,389879
GMKN,D,20050222,000000,1668.6800000,1678.0000000,1657.8300000,1670.0000000,636067
GMKN,D,20050224,000000,1689.0000000,1745.5400000,1689.0000000,1745.0000000,788790
GMKN,D,20050225,000000,1751.9000000,1769.0000000,1735.1500000,1751.7300000,693739
GMKN,D,20050228,000000,1748.2000000,1834.5000000,1743.2200000,1832.0000000,996906
GMKN,D,20050301,000000,1830.0000000,1830.0000000,1773.0000000,1778.0100000,850609
GMKN,D,20050302,000000,1777.0000000,1802.0000000,1716.0000000,1720.0000000,1126711
GMKN,D,20050303,000000,1725.0000000,1745.0000000,1707.0000000,1733.9000000,664742
GMKN,D,20050304,000000,1737.0000000,1776.8000000,1737.0000000,1773.5000000,584199
GMKN,D,20050305,000000,1777.7700000,1780.0000000,1766.0100000,1777.0000000,154229
GMKN,D,20050309,000000,1792.0000000,1811.0000000,1756.7200000,1785.0000000,720175
GMKN,D,20050310,000000,1784.8000000,1790.0000000,1720.0000000,1733.9000000,717511
GMKN,D,20050311,000000,1730.9000000,1743.7700000,1701.0000000,1740.0000000,659027
GMKN,D,20050314,000000,1740.0000000,1746.0000000,1690.0000000,1700.0000000,463891
GMKN,D,20050315,000000,1704.7600000,1732.0000000,1685.0000000,1696.0000000,670042
GMKN,D,20050316,000000,1699.1500000,1706.5000000,1626.0800000,1631.0000000,1034000
GMKN,D,20050317,000000,1631.1500000,1661.9800000,1631.1500000,1652.5000000,570070
GMKN,D,20050318,000000,1655.2500000,1678.8800000,1625.0000000,1630.0000000,665282
GMKN,D,20050321,000000,1635.0600000,1649.8800000,1577.5000000,1582.9900000,870075
GMKN,D,20050322,000000,1582.0000000,1614.9900000,1567.0100000,1609.0000000,627955
GMKN,D,20050323,000000,1599.9500000,1599.9500000,1527.0100000,1550.0000000,996157
GMKN,D,20050324,000000,1555.0000000,1647.8300000,1550.0100000,1643.0000000,1087498
GMKN,D,20050325,000000,1649.4800000,1677.7700000,1648.9500000,1667.0000000,465118
GMKN,D,20050328,000000,1665.7500000,1674.0000000,1625.0000000,1665.0000000,309684
GMKN,D,20050329,000000,1660.0000000,1679.0000000,1636.0000000,1645.2000000,414556
GMKN,D,20050330,000000,1639.0000000,1639.0000000,1603.0000000,1609.9900000,445021
GMKN,D,20050331,000000,1615.5000000,1643.0000000,1605.0000000,1639.0000000,591037
GMKN,D,20050401,000000,1641.0000000,1669.5700000,1628.5000000,1666.0000000,394984
GMKN,D,20050404,000000,1665.4000000,1691.4000000,1643.0000000,1643.0000000,823274
GMKN,D,20050405,000000,1645.2500000,1674.9000000,1643.1900000,1664.0000000,524024
GMKN,D,20050406,000000,1669.0000000,1720.0000000,1665.3100000,1713.9900000,1178749
GMKN,D,20050407,000000,1722.0000000,1754.0000000,1718.2500000,1737.0000000,1221088
GMKN,D,20050408,000000,1735.0000000,1769.0000000,1720.0000000,1753.0000000,897575
GMKN,D,20050411,000000,1755.0000000,1758.0000000,1660.0000000,1702.0000000,1618531
GMKN,D,20050412,000000,1659.9500000,1713.0000000,1653.1100000,1682.8700000,948509
GMKN,D,20050413,000000,1693.5000000,1711.0000000,1661.0000000,1670.1000000,1065983
GMKN,D,20050414,000000,1660.0000000,1664.0400000,1631.0000000,1638.9900000,883561
GMKN,D,20050415,000000,1634.0000000,1634.0000000,1590.0200000,1605.5000000,941698
GMKN,D,20050418,000000,1589.9900000,1594.9300000,1551.0000000,1565.0000000,1116267
GMKN,D,20050419,000000,1565.0500000,1605.8100000,1565.0500000,1603.5500000,999683
GMKN,D,20050420,000000,1609.5000000,1634.0000000,1579.0000000,1580.0100000,852825
GMKN,D,20050421,000000,1575.0000000,1620.0000000,1573.0000000,1615.0000000,707252
GMKN,D,20050422,000000,1624.0000000,1629.8800000,1582.6000000,1611.0000000,737263
GMKN,D,20050425,000000,1619.5000000,1642.0000000,1612.0700000,1621.0000000,623083
GMKN,D,20050426,000000,1625.0000000,1635.0000000,1609.0000000,1618.0000000,489362
GMKN,D,20050427,000000,1617.7500000,1617.7500000,1567.0000000,1568.0000000,720616
GMKN,D,20050428,000000,1572.0000000,1591.0000000,1557.1400000,1572.0000000,661887
GMKN,D,20050429,000000,1565.0000000,1575.0000000,1545.0200000,1558.8700000,557885
GMKN,D,20050503,000000,1561.4800000,1575.9600000,1561.4800000,1573.0000000,190416
GMKN,D,20050504,000000,1575.0300000,1590.0000000,1565.4900000,1580.0000000,396717
GMKN,D,20050505,000000,1590.0000000,1603.0000000,1577.1200000,1583.5000000,591739
GMKN,D,20050506,000000,1585.2000000,1600.0000000,1577.3500000,1587.6000000,424039
GMKN,D,20050511,000000,1600.0000000,1614.0000000,1581.1000000,1592.0000000,658842
GMKN,D,20050512,000000,1595.0400000,1599.0000000,1570.0200000,1575.2000000,385969
GMKN,D,20050513,000000,1570.0000000,1572.0000000,1531.0100000,1550.0000000,800348
GMKN,D,20050514,000000,1550.0000000,1550.0000000,1539.0300000,1544.0200000,105291
GMKN,D,20050516,000000,1549.8700000,1549.8700000,1498.1900000,1501.0200000,495467
GMKN,D,20050517,000000,1513.5000000,1554.9800000,1491.5500000,1552.9900000,885166
GMKN,D,20050518,000000,1561.9900000,1563.0000000,1535.0000000,1540.0000000,564279
GMKN,D,20050519,000000,1555.0000000,1571.8500000,1542.0000000,1547.0000000,779850
GMKN,D,20050520,000000,1549.0000000,1554.0000000,1537.0000000,1550.2000000,318937
GMKN,D,20050523,000000,1597.2500000,1597.2500000,1545.2200000,1559.9900000,286498
GMKN,D,20050524,000000,1564.5100000,1636.9700000,1561.0000000,1634.1400000,1049316
GMKN,D,20050525,000000,1634.0700000,1639.9800000,1605.0000000,1607.2300000,613555
GMKN,D,20050526,000000,1653.6200000,1653.6200000,1602.2100000,1618.9000000,459042
GMKN,D,20050527,000000,1628.0000000,1642.0000000,1623.5600000,1629.0000000,680013
GMKN,D,20050530,000000,1624.0000000,1638.0000000,1608.0000000,1614.0000000,304469
GMKN,D,20050531,000000,1614.0000000,1652.9500000,1605.0000000,1642.0100000,724359
GMKN,D,20050601,000000,1649.5000000,1649.5000000,1610.9500000,1623.3000000,702714
GMKN,D,20050602,000000,1626.0000000,1667.0000000,1626.0000000,1662.9800000,961758
GMKN,D,20050603,000000,1664.3300000,1676.9000000,1656.3500000,1662.0200000,538720
GMKN,D,20050606,000000,1662.9500000,1663.0000000,1632.5600000,1645.0000000,542789
GMKN,D,20050607,000000,1645.0000000,1653.3200000,1620.0000000,1633.1100000,773106
GMKN,D,20050608,000000,1633.2300000,1640.0000000,1615.0200000,1627.0000000,295068
GMKN,D,20050609,000000,1630.0000000,1640.0000000,1620.0000000,1625.0000000,397097
GMKN,D,20050610,000000,1628.0000000,1640.0000000,1627.0000000,1633.0000000,399454
GMKN,D,20050614,000000,1647.2200000,1682.0000000,1640.1100000,1674.5000000,653715
GMKN,D,20050615,000000,1674.7500000,1688.0000000,1670.0100000,1686.9700000,581043
GMKN,D,20050616,000000,1689.9400000,1719.7800000,1689.0000000,1715.9500000,1247293
GMKN,D,20050617,000000,1720.0300000,1734.4000000,1711.1100000,1732.0500000,830691
GMKN,D,20050620,000000,1735.0000000,1742.9000000,1719.0000000,1725.9900000,526774
GMKN,D,20050621,000000,1719.1100000,1724.4000000,1703.0000000,1711.0000000,577053
GMKN,D,20050622,000000,1713.9500000,1750.0000000,1710.1000000,1746.0000000,840745
GMKN,D,20050623,000000,1749.5000000,1755.0200000,1735.5500000,1743.0300000,811729
GMKN,D,20050624,000000,1737.6000000,1740.0000000,1717.0000000,1734.0000000,564739
GMKN,D,20050627,000000,1682.5500000,1728.0000000,1682.5500000,1703.5000000,558150
GMKN,D,20050628,000000,1710.2500000,1715.0000000,1682.0100000,1706.5000000,921162
GMKN,D,20050629,000000,1710.0000000,1724.5000000,1693.0000000,1707.0000000,1022301
GMKN,D,20050630,000000,1707.0100000,1743.0000000,1707.0000000,1736.5000000,917621
GMKN,D,20050701,000000,1735.0000000,1758.0000000,1730.0000000,1758.0000000,740257
GMKN,D,20050704,000000,1760.0600000,1771.7100000,1739.0000000,1741.6000000,535881
GMKN,D,20050705,000000,1755.5000000,1755.5000000,1732.0000000,1745.8500000,510963
GMKN,D,20050706,000000,1749.0000000,1808.9900000,1747.0100000,1807.0000000,909422
GMKN,D,20050707,000000,1801.3800000,1828.5000000,1752.1200000,1805.2200000,2112766
GMKN,D,20050708,000000,1811.9400000,1851.9900000,1811.8700000,1844.8800000,1386083
GMKN,D,20050711,000000,1849.0000000,1853.5500000,1826.0100000,1849.9900000,706761
GMKN,D,20050712,000000,1851.0000000,1859.9700000,1827.0000000,1853.5000000,517488
GMKN,D,20050713,000000,1853.2500000,1884.4500000,1846.2200000,1864.0100000,598198
GMKN,D,20050714,000000,1865.0000000,1871.8000000,1847.1200000,1857.1300000,441004
GMKN,D,20050715,000000,1852.0000000,1855.9900000,1830.0000000,1836.0000000,431514
GMKN,D,20050718,000000,1839.9900000,1849.6000000,1815.0500000,1826.8700000,409961
GMKN,D,20050719,000000,1826.2900000,1843.0000000,1826.0000000,1840.5000000,444719
GMKN,D,20050720,000000,1842.0000000,1877.0000000,1841.1200000,1868.0000000,608114
GMKN,D,20050721,000000,1872.7500000,1888.0000000,1858.0000000,1874.0000000,754081
GMKN,D,20050722,000000,1873.0000000,1950.0000000,1858.0000000,1925.0000000,846673
GMKN,D,20050725,000000,1935.0000000,1953.9800000,1914.0600000,1935.0000000,687751
GMKN,D,20050726,000000,1935.0000000,1945.0000000,1900.0000000,1911.0000000,582322
GMKN,D,20050727,000000,1911.0000000,1937.9000000,1911.0000000,1924.4800000,319640
GMKN,D,20050728,000000,1927.1300000,1955.0000000,1926.1200000,1953.0000000,575888
GMKN,D,20050729,000000,1955.0000000,1992.3600000,1955.0000000,1968.5000000,741862
GMKN,D,20050801,000000,1969.4800000,1990.0000000,1941.0000000,1977.0000000,495310
GMKN,D,20050802,000000,1983.7500000,1999.7500000,1978.5700000,1996.6900000,533508
GMKN,D,20050803,000000,2000.0000000,2005.7900000,1957.6100000,1973.9900000,798518
GMKN,D,20050804,000000,1979.0000000,2010.5000000,1962.0000000,2004.0000000,615293
GMKN,D,20050805,000000,2000.5100000,2010.0000000,1985.5100000,2006.0000000,360547
GMKN,D,20050808,000000,2010.0000000,2024.0000000,1999.0000000,2007.9900000,507477
GMKN,D,20050809,000000,2061.7000000,2061.7000000,1996.0200000,2012.0000000,460550
GMKN,D,20050810,000000,2012.0000000,2018.0000000,1981.0000000,1991.0000000,624129
GMKN,D,20050811,000000,1992.9000000,2005.9500000,1961.0000000,1966.0000000,620339
GMKN,D,20050812,000000,1969.9900000,1993.0000000,1948.0100000,1979.0000000,543405
GMKN,D,20050815,000000,1977.5200000,2000.0000000,1967.0000000,1991.9900000,287142
GMKN,D,20050816,000000,1996.4900000,2056.0000000,1994.9700000,2034.0000000,940205
GMKN,D,20050817,000000,2030.0000000,2062.6100000,2012.5000000,2037.5000000,971670
GMKN,D,20050818,000000,2028.8000000,2037.8900000,2000.0000000,2020.0000000,673295
