<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE.BRN,D,20050101,000000,40.2400000,40.4900000,40.0800000,40.2400000,0
ICE.BRN,D,20050102,000000,40.2400000,40.4900000,40.0800000,40.2400000,0
ICE.BRN,D,20050103,000000,40.3600000,40.3600000,40.3600000,40.3600000,0
ICE.BRN,D,20050104,000000,40.3700000,41.1500000,38.7400000,40.9400000,0
ICE.BRN,D,20050105,000000,40.9500000,41.3800000,40.2800000,40.9000000,0
ICE.BRN,D,20050106,000000,40.8900000,40.9100000,40.2200000,40.4400000,0
ICE.BRN,D,20050107,000000,43.1700000,44.1400000,42.4400000,43.5400000,0
ICE.BRN,D,20050108,000000,43.1700000,44.1400000,42.4400000,43.5400000,0
ICE.BRN,D,20050109,000000,43.1700000,44.1400000,42.4400000,43.5400000,0
ICE.BRN,D,20050110,000000,43.5700000,45.2900000,43.3500000,43.3700000,0
ICE.BRN,D,20050111,000000,43.3500000,44.0600000,43.0900000,43.5800000,0
ICE.BRN,D,20050112,000000,43.7200000,44.3200000,42.9500000,44.1400000,0
ICE.BRN,D,20050113,000000,44.1100000,45.9900000,42.9100000,45.7400000,0
ICE.BRN,D,20050114,000000,45.7300000,46.1000000,45.1900000,45.5100000,0
ICE.BRN,D,20050115,000000,45.7300000,46.1000000,45.1900000,45.5100000,0
ICE.BRN,D,20050116,000000,45.7300000,46.1000000,45.1900000,45.5100000,0
ICE.BRN,D,20050117,000000,45.8700000,45.8700000,45.1200000,45.1300000,0
ICE.BRN,D,20050118,000000,45.1200000,46.4700000,44.7400000,45.5200000,0
ICE.BRN,D,20050119,000000,45.5200000,45.5200000,44.6900000,44.7400000,0
ICE.BRN,D,20050120,000000,44.7400000,44.7400000,43.8000000,44.2700000,0
ICE.BRN,D,20050121,000000,44.2700000,46.1100000,44.2700000,45.7300000,0
ICE.BRN,D,20050122,000000,44.2700000,46.1100000,44.2700000,45.7300000,0
ICE.BRN,D,20050123,000000,44.2700000,46.1100000,44.2700000,45.7300000,0
ICE.BRN,D,20050124,000000,46.4100000,46.4200000,44.3000000,46.0200000,0
ICE.BRN,D,20050125,000000,45.8100000,47.0500000,45.5700000,46.7800000,0
ICE.BRN,D,20050126,000000,46.7400000,46.7400000,44.5400000,46.3900000,0
ICE.BRN,D,20050127,000000,46.4000000,47.0900000,46.0900000,46.1800000,0
ICE.BRN,D,20050128,000000,46.1900000,46.2200000,44.3500000,44.8000000,0
ICE.BRN,D,20050129,000000,46.1900000,46.2200000,44.3500000,44.8000000,0
ICE.BRN,D,20050130,000000,46.1900000,46.2200000,44.3500000,44.8000000,0
ICE.BRN,D,20050131,000000,44.1500000,45.9000000,43.4300000,45.8700000,0
ICE.BRN,D,20050201,000000,45.4200000,45.5600000,44.5300000,44.6700000,0
ICE.BRN,D,20050202,000000,44.6400000,44.8400000,43.5600000,43.6400000,0
ICE.BRN,D,20050203,000000,43.6500000,43.7700000,42.6800000,43.3700000,0
ICE.BRN,D,20050204,000000,43.3800000,44.2800000,43.3800000,43.6900000,0
ICE.BRN,D,20050205,000000,43.3800000,44.2800000,43.3800000,43.6900000,0
ICE.BRN,D,20050206,000000,43.3800000,44.2800000,43.3800000,43.6900000,0
ICE.BRN,D,20050207,000000,43.5800000,44.1100000,41.6000000,43.3700000,0
ICE.BRN,D,20050208,000000,43.3800000,43.3800000,42.2900000,42.9300000,0
ICE.BRN,D,20050209,000000,42.6400000,43.9600000,42.4200000,42.9500000,0
ICE.BRN,D,20050210,000000,42.9500000,44.6700000,42.9200000,44.5200000,0
ICE.BRN,D,20050211,000000,44.5300000,44.8800000,44.0100000,44.6400000,0
ICE.BRN,D,20050212,000000,44.5300000,44.8800000,44.0100000,44.6400000,0
ICE.BRN,D,20050213,000000,44.5300000,44.8800000,44.0100000,44.6400000,0
ICE.BRN,D,20050214,000000,44.6800000,45.1000000,43.9500000,44.7000000,0
ICE.BRN,D,20050215,000000,44.7100000,45.0100000,44.5800000,44.7200000,0
ICE.BRN,D,20050216,000000,44.6600000,46.0600000,44.5200000,45.7100000,0
ICE.BRN,D,20050217,000000,45.7200000,46.2100000,45.0300000,45.3800000,0
ICE.BRN,D,20050218,000000,45.3800000,46.1600000,45.3500000,46.0000000,0
ICE.BRN,D,20050219,000000,45.3800000,46.1600000,45.3500000,46.0000000,0
ICE.BRN,D,20050220,000000,45.3800000,46.1600000,45.3500000,46.0000000,0
ICE.BRN,D,20050221,000000,46.1500000,46.7700000,46.0300000,46.1600000,0
ICE.BRN,D,20050222,000000,46.7600000,48.4000000,46.7400000,48.1500000,0
ICE.BRN,D,20050223,000000,48.0800000,48.3400000,47.5600000,47.8100000,0
ICE.BRN,D,20050224,000000,47.8300000,49.5000000,47.8300000,49.1900000,0
ICE.BRN,D,20050225,000000,49.1900000,49.6700000,48.6200000,49.4000000,0
