<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,D,20050111,000000,828.0000000,842.8500000,821.0000000,826.8900000,702888
LKOH,D,20050112,000000,829.9500000,832.8900000,815.8000000,832.0000000,1194203
LKOH,D,20050113,000000,832.0000000,833.0000000,821.5000000,827.2000000,734766
LKOH,D,20050114,000000,828.6300000,843.0000000,825.5600000,836.5000000,737358
LKOH,D,20050117,000000,837.7600000,849.5000000,829.0000000,830.0000000,957143
LKOH,D,20050118,000000,829.7500000,841.0000000,811.3000000,817.9500000,1763704
LKOH,D,20050119,000000,819.0000000,830.8800000,814.1800000,824.8900000,1137362
LKOH,D,20050120,000000,823.9000000,827.0000000,807.0000000,810.8800000,1325983
LKOH,D,20050121,000000,813.7800000,817.0000000,804.1000000,810.9400000,679331
LKOH,D,20050124,000000,811.9900000,825.0000000,811.9900000,821.5000000,1173624
LKOH,D,20050125,000000,821.8500000,832.5000000,821.1500000,826.0000000,1526002
LKOH,D,20050126,000000,827.6500000,835.2300000,817.5000000,830.2100000,1718410
LKOH,D,20050127,000000,831.0100000,839.9000000,824.5000000,837.0000000,1482131
LKOH,D,20050128,000000,833.2500000,855.2500000,826.0100000,850.0000000,2150876
LKOH,D,20050131,000000,851.0100000,878.4900000,842.6500000,868.0000000,2656032
LKOH,D,20050201,000000,870.0000000,879.0000000,864.2200000,873.9800000,1651217
LKOH,D,20050202,000000,874.9500000,888.0000000,870.0600000,875.0000000,1902410
LKOH,D,20050203,000000,876.0000000,883.0000000,872.1000000,880.0100000,1646410
LKOH,D,20050204,000000,880.1000000,888.5000000,874.5000000,884.5000000,1060409
LKOH,D,20050207,000000,888.0000000,899.0000000,882.2900000,884.2600000,1661308
LKOH,D,20050208,000000,883.9000000,897.0000000,876.5000000,896.0000000,1133407
LKOH,D,20050209,000000,897.0000000,902.0000000,883.0000000,885.4900000,1789699
LKOH,D,20050210,000000,885.0000000,890.0000000,875.0000000,888.8600000,1103598
LKOH,D,20050211,000000,889.8900000,891.0000000,873.0500000,875.0000000,841473
LKOH,D,20050214,000000,875.8200000,891.7600000,874.0000000,881.0000000,1371695
LKOH,D,20050215,000000,882.0000000,889.4900000,879.2200000,886.8000000,772203
