history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;MOEX10;2021-01-29;Индекс МосБиржи 10;Индекс МосБиржи 10;5264,73;5366,55;5367,19;5256,82;76618662841;0;0;2;11841640608092,809;RUB;5391,010000
SNDX;MOEX10;2021-01-28;Индекс МосБиржи 10;Индекс МосБиржи 10;5371,72;5327,97;5397,85;5310,22;59784562175,7;0;0;2;12105276522038,555;RUB;5391,010000
SNDX;MOEX10;2021-01-27;Индекс МосБиржи 10;Индекс МосБиржи 10;5368,67;5458,54;5473,01;5346,86;70442236512,5;0;0;2;12087194009155,918;RUB;5391,010000
SNDX;MOEX10;2021-01-26;Индекс МосБиржи 10;Индекс МосБиржи 10;5445,22;5449,35;5467,07;5418,67;54108767527,4;0;0;2;12250237606082,197;RUB;5391,010000
SNDX;MOEX10;2021-01-25;Индекс МосБиржи 10;Индекс МосБиржи 10;5467,66;5478,41;5515,83;5449,32;69988874086,8;0;0;2;12285747946450,748;RUB;5391,010000
SNDX;MOEX10;2021-01-22;Индекс МосБиржи 10;Индекс МосБиржи 10;5456,96;5503,36;5503,36;5428,03;72969034123,2;0;0;2;12284256596610,71;RUB;5391,010000
SNDX;MOEX10;2021-01-21;Индекс МосБиржи 10;Индекс МосБиржи 10;5533,75;5620,18;5635,76;5509,05;70379951756,7;0;0;2;12479960240332,33;RUB;5391,010000
SNDX;MOEX10;2021-01-20;Индекс МосБиржи 10;Индекс МосБиржи 10;5592,92;5551,77;5610,47;5548,22;45611540054,3;0;0;2;12633782723610,416;RUB;5391,010000
SNDX;MOEX10;2021-01-19;Индекс МосБиржи 10;Индекс МосБиржи 10;5533,84;5593,5;5611,75;5529,19;50658049943,9;0;0;2;12516760459993,65;RUB;5391,010000
SNDX;MOEX10;2021-01-18;Индекс МосБиржи 10;Индекс МосБиржи 10;5575,26;5538,55;5588,61;5507,06;58657729529,7;0;0;2;12654222158992,932;RUB;5391,010000
SNDX;MOEX10;2021-01-15;Индекс МосБиржи 10;Индекс МосБиржи 10;5549,63;5634,12;5667,74;5539,1;60506340506,9;0;0;2;12568763948801,57;RUB;5391,010000
SNDX;MOEX10;2021-01-14;Индекс МосБиржи 10;Индекс МосБиржи 10;5637,69;5629,85;5663,75;5584,13;66294325085,2;0;0;2;12752672895679,574;RUB;5391,010000
SNDX;MOEX10;2021-01-13;Индекс МосБиржи 10;Индекс МосБиржи 10;5642,56;5674;5697,39;5606,69;60543602873,9;0;0;2;12719870357145,426;RUB;5391,010000
SNDX;MOEX10;2021-01-12;Индекс МосБиржи 10;Индекс МосБиржи 10;5641,11;5687,27;5726,75;5604,08;67512955023,5;0;0;2;12728709728531,21;RUB;5391,010000
SNDX;MOEX10;2021-01-11;Индекс МосБиржи 10;Индекс МосБиржи 10;5665,26;5626,56;5719,23;5600,12;98776204107,6;0;0;2;12763887269413,201;RUB;5391,010000
