<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,D,20050111,000000,614.0600000,614.0600000,604.6300000,607.5700000,0
RTSI,D,20050112,000000,607.5500000,609.3300000,604.9100000,605.4600000,10296081
RTSI,D,20050113,000000,605.7200000,608.1100000,605.2100000,605.2100000,4067754
RTSI,D,20050114,000000,605.2000000,611.7600000,604.9700000,611.7400000,5470850
RTSI,D,20050117,000000,611.8600000,614.2000000,611.7700000,613.6200000,3225011
RTSI,D,20050118,000000,612.9700000,612.9700000,600.5700000,601.7600000,7065909
RTSI,D,20050119,000000,601.4700000,601.4700000,598.8900000,599.5200000,5560475
RTSI,D,20050120,000000,598.5500000,598.6800000,590.8500000,591.6700000,12476528
RTSI,D,20050121,000000,591.2700000,593.2800000,590.6200000,593.2200000,4906998
RTSI,D,20050124,000000,593.3400000,600.1500000,593.3400000,599.7100000,15553728
RTSI,D,20050125,000000,600.6000000,608.7100000,600.6000000,607.1400000,11297560
RTSI,D,20050126,000000,607.0600000,608.2900000,601.8100000,605.3100000,10649561
RTSI,D,20050127,000000,605.4200000,612.2400000,605.4200000,612.2400000,20794176
RTSI,D,20050128,000000,610.6300000,625.1500000,609.7900000,625.1500000,26712375
RTSI,D,20050131,000000,625.1100000,640.4100000,625.0100000,637.2100000,28646030
RTSI,D,20050201,000000,637.2000000,640.3200000,634.7400000,640.3200000,26153360
RTSI,D,20050202,000000,640.3300000,652.4600000,640.3300000,650.9800000,32092769
RTSI,D,20050203,000000,651.1700000,655.8400000,649.7200000,654.8400000,25429640
RTSI,D,20050204,000000,654.6500000,654.9700000,651.7500000,654.6300000,21359041
RTSI,D,20050207,000000,654.6600000,661.1000000,654.6600000,656.5900000,24891143
RTSI,D,20050208,000000,656.2400000,656.2400000,652.8000000,654.9600000,13471125
RTSI,D,20050209,000000,654.9500000,658.1000000,654.5400000,656.5900000,21794017
RTSI,D,20050210,000000,656.3900000,656.3900000,649.2800000,654.6000000,9674010
RTSI,D,20050211,000000,653.9000000,655.0500000,651.0400000,655.0400000,11742037
RTSI,D,20050214,000000,655.3900000,657.9200000,653.4700000,653.6500000,11089011
RTSI,D,20050215,000000,653.7100000,659.3600000,653.0600000,658.6600000,12948025
RTSI,D,20050216,000000,658.8300000,664.2100000,658.8300000,661.9900000,19998638
RTSI,D,20050217,000000,661.3300000,665.7700000,660.8800000,665.6900000,17145506
RTSI,D,20050218,000000,665.5800000,670.2800000,665.4000000,669.0800000,21426593
RTSI,D,20050221,000000,669.6200000,674.6300000,669.6200000,674.6200000,13128482
RTSI,D,20050222,000000,674.5000000,677.3100000,672.6100000,673.1300000,29987626
RTSI,D,20050224,000000,675.7000000,690.2300000,675.4800000,690.2300000,46166090
RTSI,D,20050225,000000,693.1400000,701.3500000,692.3800000,701.3500000,27144788
RTSI,D,20050228,000000,701.5300000,716.5900000,701.5200000,716.4200000,31060001
RTSI,D,20050301,000000,716.5000000,718.4300000,714.0700000,714.1000000,21498187
RTSI,D,20050302,000000,714.1100000,716.5200000,704.0500000,704.0500000,24433195
RTSI,D,20050303,000000,703.9800000,705.7300000,702.0500000,702.5800000,19402923
RTSI,D,20050304,000000,702.4200000,707.6100000,702.4200000,706.7600000,18904733
RTSI,D,20050305,000000,707.5400000,712.0300000,707.5400000,712.0300000,6341422
RTSI,D,20050309,000000,713.3100000,722.0900000,713.3100000,716.8300000,19718459
RTSI,D,20050310,000000,714.8900000,715.0900000,705.6600000,705.9500000,16796635
RTSI,D,20050311,000000,705.3700000,705.4200000,699.4500000,704.5400000,24604547
RTSI,D,20050314,000000,704.5500000,704.5500000,697.5400000,697.5400000,13469849
RTSI,D,20050315,000000,698.5200000,700.2900000,697.1200000,698.7100000,15681431
RTSI,D,20050316,000000,698.7400000,698.7800000,676.9400000,677.1200000,31375715
RTSI,D,20050317,000000,677.2400000,681.9600000,677.2400000,680.2100000,11883528
RTSI,D,20050318,000000,680.6900000,685.3900000,679.2700000,679.2700000,14009146
RTSI,D,20050321,000000,679.2400000,679.2400000,667.2300000,667.2300000,17303936
RTSI,D,20050322,000000,667.1800000,674.2900000,667.1400000,674.2900000,11282181
RTSI,D,20050323,000000,674.3900000,674.3900000,658.3600000,661.9500000,30308421
