<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBERP,D,20050111,000000,139.2900000,142.0000000,138.1700000,140.4000000,180343
SBERP,D,20050112,000000,140.0000000,140.9500000,139.0300000,139.6400000,28860
SBERP,D,20050113,000000,141.8500000,141.8500000,139.2000000,139.3000000,30256
SBERP,D,20050114,000000,139.2900000,139.8500000,139.0000000,139.4400000,29134
SBERP,D,20050117,000000,139.9000000,139.9000000,136.6700000,137.0000000,98219
SBERP,D,20050118,000000,136.6000000,137.4800000,135.0000000,136.7700000,91606
SBERP,D,20050119,000000,136.9000000,138.4000000,136.1000000,137.3000000,42517
SBERP,D,20050120,000000,138.0000000,138.0000000,135.1000000,135.8900000,86712
SBERP,D,20050121,000000,135.6000000,136.8000000,134.2200000,135.9900000,79233
SBERP,D,20050124,000000,135.9800000,138.3500000,135.9800000,138.3200000,71698
SBERP,D,20050125,000000,138.5000000,141.8500000,138.5000000,140.9800000,200445
SBERP,D,20050126,000000,140.5000000,141.6900000,139.4000000,140.5000000,117784
SBERP,D,20050127,000000,140.0000000,141.3000000,139.5100000,140.9000000,60230
SBERP,D,20050128,000000,140.6000000,146.0000000,140.0500000,145.9600000,155990
SBERP,D,20050131,000000,145.5000000,149.7700000,144.2500000,148.5100000,387503
SBERP,D,20050201,000000,148.5300000,151.9900000,148.5300000,151.9900000,330200
SBERP,D,20050202,000000,151.0200000,152.9900000,151.0200000,151.8900000,174071
SBERP,D,20050203,000000,151.3000000,153.0000000,150.1500000,152.1200000,247401
SBERP,D,20050204,000000,152.4800000,152.8400000,151.0100000,152.5000000,101531
SBERP,D,20050207,000000,152.5000000,154.0500000,152.0100000,153.3800000,395094
SBERP,D,20050208,000000,152.5000000,154.9000000,152.0500000,154.6000000,129598
SBERP,D,20050209,000000,155.0000000,156.0000000,154.2500000,154.8800000,348555
SBERP,D,20050210,000000,154.5100000,155.2500000,151.0000000,154.5000000,136996
SBERP,D,20050211,000000,154.5000000,155.3000000,152.7700000,154.0000000,91263
SBERP,D,20050214,000000,154.0000000,157.3000000,154.0000000,156.1000000,294207
SBERP,D,20050215,000000,156.4500000,157.4000000,156.0000000,157.2900000,160536
SBERP,D,20050216,000000,157.4800000,158.2500000,156.5500000,157.8500000,165431
SBERP,D,20050217,000000,157.8500000,161.0000000,157.6500000,161.0000000,427866
SBERP,D,20050218,000000,160.5000000,164.9000000,160.1000000,162.0000000,337431
SBERP,D,20050221,000000,162.0000000,163.8000000,161.5200000,163.5400000,266280
SBERP,D,20050222,000000,163.5700000,164.4900000,162.4000000,164.2400000,251716
SBERP,D,20050224,000000,164.7000000,167.7800000,164.2700000,167.6500000,259021
SBERP,D,20050225,000000,168.4900000,169.8000000,165.0000000,169.0100000,504139
SBERP,D,20050228,000000,169.0200000,170.5000000,168.7400000,170.0000000,271591
SBERP,D,20050301,000000,169.7600000,171.3500000,166.3000000,167.6500000,294138
SBERP,D,20050302,000000,167.6500000,169.2000000,164.1900000,165.1100000,237975
SBERP,D,20050303,000000,167.0000000,167.4500000,165.0200000,167.0000000,163888
SBERP,D,20050304,000000,167.9000000,170.9000000,166.5000000,170.9000000,278968
SBERP,D,20050305,000000,170.5000000,170.9500000,169.5200000,169.7700000,80022
SBERP,D,20050309,000000,170.0000000,170.8800000,168.0000000,168.5800000,147974
SBERP,D,20050310,000000,168.3000000,168.5700000,164.2000000,165.6300000,231776
SBERP,D,20050311,000000,165.1000000,166.0800000,160.1200000,165.2400000,348731
SBERP,D,20050314,000000,165.2400000,166.0000000,163.1300000,165.0000000,166560
SBERP,D,20050315,000000,164.1200000,166.0000000,163.8300000,165.0000000,116307
SBERP,D,20050316,000000,165.0000000,165.0000000,160.6600000,161.9000000,240675
SBERP,D,20050317,000000,160.5500000,165.0000000,160.5500000,164.6900000,94951
SBERP,D,20050318,000000,164.8000000,167.3000000,163.0300000,164.9900000,160789
SBERP,D,20050321,000000,162.5000000,165.3500000,162.0600000,163.0500000,89122
SBERP,D,20050322,000000,162.7100000,166.9200000,162.7100000,166.5000000,131302
SBERP,D,20050323,000000,164.0000000,165.5000000,161.4000000,164.6400000,165532
SBERP,D,20050324,000000,164.8900000,167.1000000,162.8200000,166.5700000,147840
SBERP,D,20050325,000000,167.0000000,168.0000000,165.7300000,166.1800000,104657
SBERP,D,20050328,000000,166.1100000,167.4800000,165.1500000,167.2000000,75888
SBERP,D,20050329,000000,167.1100000,167.9900000,165.6600000,167.3900000,97035
SBERP,D,20050330,000000,166.2100000,167.0000000,164.3600000,165.9000000,74052
SBERP,D,20050331,000000,165.1400000,170.4500000,164.5100000,169.7500000,169096
SBERP,D,20050401,000000,170.0000000,173.8700000,169.0000000,172.5000000,508703
SBERP,D,20050404,000000,172.5000000,174.8000000,172.0000000,173.6000000,370632
SBERP,D,20050405,000000,173.5000000,174.9500000,167.5000000,174.0100000,254030
SBERP,D,20050406,000000,174.0100000,175.4900000,173.2600000,175.3000000,241297
SBERP,D,20050407,000000,175.3000000,176.8600000,173.5500000,176.2500000,270071
SBERP,D,20050408,000000,175.5500000,177.7700000,174.0000000,176.0000000,113503
SBERP,D,20050411,000000,175.8300000,177.4300000,169.4000000,173.0000000,384149
SBERP,D,20050412,000000,172.8500000,174.3900000,171.3000000,174.0200000,150964
SBERP,D,20050413,000000,174.8900000,180.4800000,174.0000000,179.7000000,342286
SBERP,D,20050414,000000,179.0000000,179.9000000,176.0300000,178.6400000,206591
SBERP,D,20050415,000000,176.1500000,179.0000000,176.1500000,178.1000000,207635
SBERP,D,20050418,000000,177.0100000,177.1000000,172.0200000,173.0000000,223820
SBERP,D,20050419,000000,172.5200000,176.2500000,172.5200000,175.9500000,168402
SBERP,D,20050420,000000,175.0000000,177.5000000,174.5000000,175.8000000,115918
SBERP,D,20050421,000000,175.1500000,177.0000000,174.4000000,176.1400000,76812
SBERP,D,20050422,000000,176.1600000,178.2000000,175.4000000,177.9500000,126822
SBERP,D,20050425,000000,177.9900000,180.0000000,176.5200000,177.6000000,146440
SBERP,D,20050426,000000,178.4000000,178.5000000,176.8500000,178.2500000,114192
SBERP,D,20050427,000000,177.5000000,178.5000000,176.5100000,178.0000000,144877
SBERP,D,20050428,000000,178.5000000,179.1000000,177.5100000,179.0000000,182532
SBERP,D,20050429,000000,178.9000000,179.9000000,177.0000000,178.0000000,306681
SBERP,D,20050503,000000,178.8000000,180.6200000,177.9000000,180.3700000,154264
SBERP,D,20050504,000000,180.5000000,184.9900000,180.1200000,183.1100000,283430
SBERP,D,20050505,000000,184.8700000,184.8800000,183.5000000,184.6000000,297653
SBERP,D,20050506,000000,184.5500000,185.7500000,181.0100000,182.0100000,305638
SBERP,D,20050511,000000,180.0000000,180.0000000,172.0000000,178.9000000,185603
SBERP,D,20050512,000000,180.0000000,180.0000000,178.4000000,178.8100000,158594
