<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20050111,000000,14010.0000000,14200.0000000,13780.0000000,14155.0000000,11600
SBER,D,20050112,000000,14190.0000000,14190.0000000,13860.0000000,13999.0000000,9239
SBER,D,20050113,000000,14050.0000000,14050.0000000,13801.0000000,13960.0000000,9670
SBER,D,20050114,000000,13955.5000000,14100.0000000,13845.0000000,13846.0000000,6840
SBER,D,20050117,000000,13673.5000000,13970.0000000,13605.0000000,13605.0000000,14715
SBER,D,20050118,000000,13602.5000000,13730.0000000,13450.0000000,13544.9700000,10076
SBER,D,20050119,000000,13544.0000000,13791.0000000,13460.0000000,13570.0000000,10710
SBER,D,20050120,000000,13550.0000000,13625.0000000,13341.0000000,13415.0000000,7751
SBER,D,20050121,000000,13849.4900000,13849.4900000,13310.0000000,13500.0100000,13586
SBER,D,20050124,000000,13882.5100000,13882.5100000,13420.0000000,13750.0000000,12114
SBER,D,20050125,000000,13749.4900000,14145.0000000,13749.4900000,13974.0000000,36182
SBER,D,20050126,000000,13987.0000000,14150.0000000,13875.0000000,14010.0000000,14759
SBER,D,20050127,000000,14014.0000000,14078.0000000,13930.0000000,14028.0000000,9098
SBER,D,20050128,000000,14022.5000000,14355.8700000,13906.1000000,14300.0000000,17338
SBER,D,20050131,000000,13846.0000000,14637.5700000,13846.0000000,14298.5000000,27584
SBER,D,20050201,000000,14124.5000000,14620.0000000,14124.5000000,14555.0000000,28629
SBER,D,20050202,000000,14567.0000000,14679.0000000,14451.0000000,14560.0000000,22395
SBER,D,20050203,000000,14580.0000000,14800.0000000,14517.0000000,14730.0200000,25862
SBER,D,20050204,000000,14705.0000000,14879.9000000,14631.0000000,14790.0000000,20061
SBER,D,20050207,000000,14860.0000000,14995.0000000,14802.0300000,14949.9000000,18528
SBER,D,20050208,000000,14920.0000000,15055.0000000,14850.0000000,15035.0000000,19003
SBER,D,20050209,000000,15090.0000000,15240.0000000,14952.0000000,15070.0800000,21573
SBER,D,20050210,000000,15071.0100000,15177.0000000,14800.0000000,15079.0000000,12981
SBER,D,20050211,000000,15050.0000000,15340.0000000,14801.0000000,15236.9000000,25103
SBER,D,20050214,000000,15230.0000000,15540.0000000,15142.0000000,15507.0000000,19400
SBER,D,20050215,000000,15520.0000000,15675.0000000,15500.0000000,15659.0000000,15541
SBER,D,20050216,000000,15698.1900000,15698.1900000,15222.0000000,15430.0000000,21623
SBER,D,20050217,000000,15460.0000000,15497.0000000,15290.0000000,15465.0000000,9758
SBER,D,20050218,000000,15473.0000000,15631.9500000,15321.0000000,15550.0000000,15099
SBER,D,20050221,000000,15601.0000000,15650.0000000,15465.0000000,15506.0000000,6221
SBER,D,20050222,000000,15548.0000000,15669.9800000,15401.0000000,15660.0000000,16052
SBER,D,20050224,000000,15650.0000000,15970.7200000,15530.1500000,15876.0000000,19028
SBER,D,20050225,000000,15900.0000000,16300.0100000,15858.0000000,16300.0000000,20077
SBER,D,20050228,000000,16295.0000000,16349.0000000,16152.0000000,16296.0000000,14902
SBER,D,20050301,000000,16330.0000000,16480.0000000,16185.0000000,16220.0000000,13939
SBER,D,20050302,000000,16220.0000000,16401.0100000,15777.0000000,15800.0000000,20210
SBER,D,20050303,000000,15801.0000000,15940.0000000,15702.0200000,15899.0000000,10632
SBER,D,20050304,000000,15944.9900000,16650.0000000,15870.0500000,16600.0000000,22848
SBER,D,20050305,000000,16570.0000000,16580.0000000,16460.0000000,16560.0000000,4594
SBER,D,20050309,000000,16649.0000000,16651.0000000,16150.0000000,16335.0000000,10631
SBER,D,20050310,000000,16251.0000000,16298.9700000,15751.0000000,15900.0000000,26759
SBER,D,20050311,000000,15900.0000000,15965.0000000,15260.0000000,15900.0000000,68863
SBER,D,20050314,000000,15910.0000000,16165.0000000,15750.0000000,16000.1100000,35649
SBER,D,20050315,000000,15920.0000000,16097.9500000,15827.0000000,15872.0000000,8351
SBER,D,20050316,000000,15827.5000000,15949.9900000,15101.5400000,15200.0000000,34497
SBER,D,20050317,000000,15200.0000000,15695.0000000,15031.0000000,15630.0000000,19290
SBER,D,20050318,000000,15602.2800000,15950.0000000,15599.0000000,15872.1400000,28434
SBER,D,20050321,000000,15436.5000000,15970.0000000,15436.5000000,15800.0100000,29577
SBER,D,20050322,000000,15675.0000000,16144.0000000,15631.0000000,16050.0000000,36367
SBER,D,20050323,000000,15900.0000000,15970.0000000,15550.0000000,15907.0200000,32935
SBER,D,20050324,000000,15875.0000000,16379.9900000,15821.1100000,16250.0000000,25462
SBER,D,20050325,000000,16300.0000000,16530.0000000,16295.0000000,16410.0000000,16243
SBER,D,20050328,000000,16410.0000000,16512.0000000,16311.0000000,16499.0000000,6757
