<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TATN,D,20050111,000000,39.7500000,39.9000000,38.9770000,39.1500000,1140000
TATN,D,20050112,000000,39.0800000,39.2000000,38.7000000,38.9000000,648500
TATN,D,20050113,000000,38.7000000,38.9500000,38.4490000,38.6000000,1219100
TATN,D,20050114,000000,38.6500000,39.4800000,38.6500000,39.3000000,682700
TATN,D,20050117,000000,41.1580000,41.4730000,39.6030000,40.6000000,2741400
TATN,D,20050118,000000,40.6650000,41.2500000,40.1000000,40.7600000,1366000
TATN,D,20050119,000000,40.8010000,41.8000000,40.5000000,41.6300000,1124300
TATN,D,20050120,000000,41.8900000,41.8900000,41.0000000,41.6470000,1343700
TATN,D,20050121,000000,41.3020000,41.7490000,41.0000000,41.3490000,505000
TATN,D,20050124,000000,41.5990000,42.1440000,41.5800000,42.0500000,486700
TATN,D,20050125,000000,42.5500000,42.5500000,41.8500000,42.3800000,1112400
TATN,D,20050126,000000,42.4500000,42.5600000,41.7500000,42.1200000,490600
TATN,D,20050127,000000,42.0980000,42.7900000,41.8000000,42.5330000,651600
TATN,D,20050128,000000,42.4200000,44.8150000,42.1500000,44.7510000,1423800
TATN,D,20050131,000000,44.6500000,45.4400000,44.0110000,44.5500000,1550400
TATN,D,20050201,000000,44.5750000,44.7500000,44.0110000,44.6500000,632800
TATN,D,20050202,000000,44.6500000,45.3490000,44.6500000,45.3000000,850700
TATN,D,20050203,000000,45.5000000,46.4000000,45.5000000,46.1100000,1421000
TATN,D,20050204,000000,45.9000000,46.1500000,45.3720000,46.0030000,978700
TATN,D,20050207,000000,45.6500000,46.3800000,45.5510000,45.8850000,772900
TATN,D,20050208,000000,45.8850000,46.8000000,44.7310000,46.7000000,1026400
TATN,D,20050209,000000,46.8100000,46.9100000,44.9690000,45.5700000,1438600
TATN,D,20050210,000000,45.5500000,45.7390000,44.4000000,45.2000000,939400
TATN,D,20050211,000000,45.4550000,45.4550000,43.8000000,44.4040000,857500
TATN,D,20050214,000000,44.3010000,44.6370000,43.2300000,43.6500000,1056600
TATN,D,20050215,000000,43.6300000,44.4400000,43.4600000,44.3000000,563800
TATN,D,20050216,000000,44.4500000,48.3000000,38.3220000,44.6000000,1915900
TATN,D,20050217,000000,44.9970000,45.6000000,44.8000000,45.1500000,703300
TATN,D,20050218,000000,45.0000000,45.6000000,44.8110000,45.5000000,1052200
TATN,D,20050221,000000,45.6500000,45.9700000,45.2500000,45.8880000,1002200
TATN,D,20050222,000000,45.8880000,46.4000000,45.6250000,45.8000000,1379500
TATN,D,20050224,000000,46.0600000,48.4600000,45.7000000,48.3000000,3436800
TATN,D,20050225,000000,48.7200000,49.2800000,47.6000000,49.2100000,1815800
TATN,D,20050228,000000,49.2700000,50.1850000,48.7500000,50.1800000,1809100
TATN,D,20050301,000000,49.7800000,49.7980000,48.5000000,48.6000000,1650900
TATN,D,20050302,000000,48.5000000,50.7200000,48.1200000,48.1500000,7975100
TATN,D,20050303,000000,48.8700000,49.9500000,48.2000000,48.8180000,2567300
TATN,D,20050304,000000,49.7500000,50.4300000,49.2220000,50.0000000,1289400
TATN,D,20050305,000000,50.4500000,50.8990000,49.7000000,50.6900000,745000
TATN,D,20050309,000000,50.1000000,50.9000000,49.6300000,50.0000000,1602000
TATN,D,20050310,000000,50.0000000,50.2000000,48.3700000,48.5000000,1362100
TATN,D,20050311,000000,47.7600000,48.7000000,47.5110000,48.4100000,1453000
TATN,D,20050314,000000,48.4900000,49.2200000,47.9000000,48.2900000,1050900
TATN,D,20050315,000000,48.1990000,48.9000000,47.5000000,47.6700000,1470900
TATN,D,20050316,000000,47.7700000,47.9500000,46.0100000,46.0500000,1423500
TATN,D,20050317,000000,45.7010000,46.6880000,44.8600000,46.1090000,1503500
TATN,D,20050318,000000,46.1000000,47.4000000,45.2000000,45.4100000,1556100
TATN,D,20050321,000000,45.5900000,45.8440000,44.3030000,44.4000000,1042700
TATN,D,20050322,000000,44.3990000,45.4900000,44.1560000,45.4800000,1103000
TATN,D,20050323,000000,44.9870000,44.9870000,44.0050000,44.5990000,1049600
TATN,D,20050324,000000,44.3390000,46.2980000,44.1100000,46.1000000,1838900
TATN,D,20050325,000000,46.2200000,46.8550000,46.0000000,46.4500000,729700
TATN,D,20050328,000000,46.5500000,46.7490000,46.3250000,46.5700000,568500
TATN,D,20050329,000000,46.4600000,46.4780000,44.8990000,45.7520000,1248300
TATN,D,20050330,000000,45.4440000,45.4440000,43.9500000,44.5900000,1439100
TATN,D,20050331,000000,44.6800000,45.1700000,44.4500000,44.8400000,637400
TATN,D,20050401,000000,45.0000000,46.7750000,44.8100000,46.5010000,1274300
TATN,D,20050404,000000,47.2110000,48.6100000,47.1500000,47.5990000,3251300
TATN,D,20050405,000000,47.5750000,48.4000000,47.3100000,48.2800000,1800600
TATN,D,20050406,000000,48.2800000,49.1000000,48.0700000,48.9500000,1560800
TATN,D,20050407,000000,50.3640000,50.3640000,48.8170000,49.3980000,2571600
TATN,D,20050408,000000,49.2100000,49.8000000,49.1900000,49.3000000,841900
TATN,D,20050411,000000,49.3370000,49.3370000,46.8550000,47.5000000,1670800
