<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,20050103,000000,27.7100000,27.7500000,27.7100000,27.7100000,0
USDRUB,D,20050104,000000,27.7500000,27.7500000,27.7300000,27.7500000,0
USDRUB,D,20050105,000000,27.7100000,27.8800000,27.7100000,27.8600000,0
USDRUB,D,20050106,000000,27.8500000,27.8800000,27.7700000,27.7600000,0
USDRUB,D,20050107,000000,27.7400000,27.8800000,27.7400000,27.7700000,0
USDRUB,D,20050110,000000,27.7500000,27.9800000,27.7500000,27.7900000,0
USDRUB,D,20050111,000000,27.8200000,27.9500000,27.8200000,27.9500000,0
USDRUB,D,20050112,000000,27.9600000,27.9600000,27.8300000,27.8100000,0
USDRUB,D,20050113,000000,27.8200000,27.9000000,27.8200000,27.8900000,0
USDRUB,D,20050114,000000,27.8900000,27.9800000,27.8900000,27.9300000,0
USDRUB,D,20050117,000000,27.9400000,28.0400000,27.9400000,28.0400000,0
USDRUB,D,20050118,000000,28.0900000,28.1200000,28.0900000,28.1200000,0
USDRUB,D,20050119,000000,28.1300000,28.1300000,28.1300000,28.1300000,0
USDRUB,D,20050120,000000,28.1100000,28.1800000,28.1100000,28.1600000,0
USDRUB,D,20050121,000000,28.1700000,28.1700000,28.0800000,28.0800000,0
USDRUB,D,20050124,000000,28.0700000,28.0700000,27.9000000,27.8800000,0
USDRUB,D,20050125,000000,27.9900000,28.0600000,27.9400000,28.0200000,0
USDRUB,D,20050126,000000,28.1000000,28.1200000,28.0300000,28.0400000,0
USDRUB,D,20050127,000000,28.0100000,28.0800000,28.0100000,28.0600000,0
USDRUB,D,20050128,000000,28.0700000,28.1100000,28.0700000,28.0600000,0
USDRUB,D,20050131,000000,28.0700000,28.1400000,28.0200000,28.0100000,0
USDRUB,D,20050201,000000,28.0200000,28.0200000,27.9500000,27.9600000,0
USDRUB,D,20050202,000000,27.9400000,28.0100000,27.9400000,27.9700000,0
USDRUB,D,20050203,000000,28.0100000,28.0300000,27.9900000,28.0000000,0
USDRUB,D,20050204,000000,28.0100000,28.0200000,27.9600000,27.9700000,0
USDRUB,D,20050207,000000,27.9500000,28.1300000,27.9500000,28.1300000,0
USDRUB,D,20050208,000000,28.1800000,28.2100000,28.1800000,28.1800000,0
USDRUB,D,20050209,000000,28.1800000,28.1800000,28.1100000,28.1100000,0
USDRUB,D,20050210,000000,28.1100000,28.1300000,28.0900000,28.0900000,0
USDRUB,D,20050211,000000,28.0800000,28.0900000,28.0640000,28.0700000,0
USDRUB,D,20050214,000000,28.0700000,28.0700000,28.0200000,28.0100000,0
USDRUB,D,20050215,000000,28.0100000,28.0200000,28.0000000,27.9900000,0
USDRUB,D,20050216,000000,28.0000000,28.0100000,28.0000000,27.9900000,0
USDRUB,D,20050217,000000,27.9990000,28.0000000,27.9800000,27.9800000,0
USDRUB,D,20050218,000000,27.9400000,27.9400000,27.9300000,27.9300000,0
USDRUB,D,20050221,000000,27.9400000,27.9400000,27.9100000,27.9300000,0
USDRUB,D,20050222,000000,27.8900000,27.8900000,27.7900000,27.7900000,0
USDRUB,D,20050223,000000,27.7900000,27.7900000,27.7900000,27.7900000,0
USDRUB,D,20050224,000000,27.7900000,27.7900000,27.7200000,27.7400000,0
USDRUB,D,20050225,000000,27.7500000,27.7900000,27.7500000,27.7400000,0
USDRUB,D,20050228,000000,27.7400000,27.9900000,27.6700000,27.9900000,0
USDRUB,D,20050301,000000,27.6800000,27.7100000,27.6800000,27.6700000,0
USDRUB,D,20050302,000000,27.6900000,27.7400000,27.6900000,27.7300000,0
USDRUB,D,20050303,000000,27.7100000,27.7400000,27.7100000,27.7200000,0
USDRUB,D,20050304,000000,27.7400000,27.7470000,27.6900000,27.6700000,0
USDRUB,D,20050307,000000,27.6900000,27.6900000,27.6800000,27.6600000,0
USDRUB,D,20050308,000000,27.6900000,27.7470000,27.6800000,27.6600000,0
USDRUB,D,20050309,000000,27.6900000,27.6900000,27.5400000,27.5400000,0
USDRUB,D,20050310,000000,27.5000000,27.5000000,27.4700000,27.4500000,0
USDRUB,D,20050311,000000,27.4500000,27.4700000,27.4500000,27.4400000,0
USDRUB,D,20050314,000000,27.4400000,27.4800000,27.4400000,27.4700000,0
USDRUB,D,20050315,000000,27.4900000,27.4900000,27.4600000,27.4800000,0
USDRUB,D,20050316,000000,27.4800000,27.5100000,27.4700000,27.4700000,0
USDRUB,D,20050317,000000,27.4400000,27.4800000,27.4400000,27.4800000,0
USDRUB,D,20050318,000000,27.4800000,27.5100000,27.4800000,27.5000000,0
USDRUB,D,20050321,000000,27.5100000,27.5900000,27.5100000,27.5800000,0
USDRUB,D,20050322,000000,27.5800000,27.5900000,27.5700000,27.5700000,0
USDRUB,D,20050323,000000,27.5700000,27.7100000,27.5700000,27.6900000,0
USDRUB,D,20050324,000000,27.6900000,27.7100000,27.6800000,27.6700000,0
USDRUB,D,20050325,000000,27.6700000,27.7100000,27.6700000,27.6900000,0
USDRUB,D,20050328,000000,27.6900000,27.8400000,27.6900000,27.8100000,0
USDRUB,D,20050329,000000,27.8000000,27.8600000,27.8000000,27.8600000,0
