<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,D,20140604,000000,1546.7000000,1546.8000000,1163.0000000,1170.0000000,35146
YNDX,D,20140605,000000,1175.0000000,1195.0000000,1141.1000000,1145.1000000,24973
YNDX,D,20140606,000000,1158.3000000,1173.5000000,1151.0000000,1163.0000000,7889
YNDX,D,20140609,000000,1178.9000000,1185.6000000,1155.7000000,1172.1000000,7304
YNDX,D,20140610,000000,1172.1000000,1181.0000000,1160.1000000,1170.0000000,3207
YNDX,D,20140611,000000,1175.0000000,1183.0000000,1157.1000000,1179.9000000,8837
YNDX,D,20140616,000000,1164.0000000,1181.2000000,1150.0000000,1165.0000000,13904
YNDX,D,20140617,000000,1166.9000000,1187.7000000,1166.9000000,1185.5000000,8517
YNDX,D,20140618,000000,1180.1000000,1185.0000000,1176.0000000,1182.9000000,1455
YNDX,D,20140619,000000,1176.0000000,1182.7000000,1165.0000000,1168.0000000,1396
YNDX,D,20140620,000000,1165.2000000,1179.0000000,1160.0000000,1175.0000000,2702
YNDX,D,20140623,000000,1185.0000000,1218.8000000,1185.0000000,1196.0000000,14081
YNDX,D,20140624,000000,1200.0000000,1208.9000000,1191.0000000,1191.8000000,3895
YNDX,D,20140625,000000,1185.0000000,1195.0000000,1153.1000000,1176.8000000,3949
YNDX,D,20140626,000000,1185.0000000,1188.5000000,1168.9000000,1185.0000000,2392
YNDX,D,20140627,000000,1172.1000000,1197.0000000,1165.0000000,1185.0000000,1148
YNDX,D,20140630,000000,1189.9000000,1218.1000000,1184.1000000,1218.0000000,8749
YNDX,D,20140701,000000,1212.5000000,1239.8000000,1212.5000000,1218.2000000,3036
YNDX,D,20140702,000000,1218.0000000,1220.0000000,1195.0000000,1200.0000000,33473
YNDX,D,20140703,000000,1188.9000000,1213.8000000,1184.0000000,1192.0000000,25562
YNDX,D,20140704,000000,1184.9000000,1204.9000000,1183.0000000,1186.0000000,2133
YNDX,D,20140707,000000,1200.0000000,1211.8000000,1152.0000000,1160.0000000,19359
YNDX,D,20140708,000000,1165.0000000,1180.0000000,1100.0000000,1113.4000000,26565
YNDX,D,20140709,000000,1100.0000000,1111.0000000,1073.8000000,1094.0000000,19416
YNDX,D,20140710,000000,1100.0000000,1125.7000000,1061.5000000,1077.8000000,11216
YNDX,D,20140711,000000,1072.2000000,1101.5000000,1056.0000000,1099.3000000,35563
YNDX,D,20140714,000000,1095.1000000,1123.5000000,1090.2000000,1118.9000000,6192
YNDX,D,20140715,000000,1123.3000000,1127.5000000,1110.0000000,1114.3000000,2789
YNDX,D,20140716,000000,1114.2000000,1115.5000000,1098.1000000,1106.5000000,7340
YNDX,D,20140717,000000,1098.0000000,1107.5000000,1067.6000000,1088.0000000,7221
YNDX,D,20140718,000000,1080.4000000,1081.4000000,1054.1000000,1072.3000000,7144
YNDX,D,20140721,000000,1080.0000000,1081.4000000,1035.0000000,1047.5000000,8353
YNDX,D,20140722,000000,1050.4000000,1060.0000000,1043.9000000,1060.0000000,10468
YNDX,D,20140723,000000,1061.4000000,1062.0000000,1047.4000000,1056.2000000,5286
YNDX,D,20140724,000000,1056.2000000,1093.4000000,1048.3000000,1077.8000000,5186
YNDX,D,20140725,000000,1077.8000000,1109.4000000,1070.1000000,1075.1000000,5127
YNDX,D,20140728,000000,1060.2000000,1075.0000000,1050.1000000,1055.0000000,3992
YNDX,D,20140729,000000,1055.1000000,1147.6000000,1055.1000000,1116.0000000,11794
YNDX,D,20140730,000000,1112.3000000,1129.8000000,1106.0000000,1120.0000000,3075
YNDX,D,20140731,000000,1129.9000000,1129.9000000,1081.1000000,1087.7000000,4886
YNDX,D,20140801,000000,1096.9000000,1096.9000000,1060.0000000,1062.2000000,6621
YNDX,D,20140804,000000,1073.2000000,1101.9000000,1072.7000000,1089.5000000,7073
YNDX,D,20140805,000000,1101.3000000,1110.9000000,1076.1000000,1094.6000000,528
YNDX,D,20140806,000000,1076.1000000,1076.1000000,1043.0000000,1060.1000000,3329
YNDX,D,20140807,000000,1041.1000000,1055.0000000,1041.1000000,1054.5000000,3528
YNDX,D,20140808,000000,1055.4000000,1055.4000000,1033.5000000,1033.5000000,7617
YNDX,D,20140811,000000,1040.0000000,1071.9000000,1040.0000000,1053.0000000,13759
YNDX,D,20140812,000000,1050.0000000,1070.0000000,1027.9000000,1052.1000000,15203
YNDX,D,20140813,000000,1050.0000000,1067.0000000,1045.1000000,1054.6000000,2194
YNDX,D,20140814,000000,1047.5000000,1065.4000000,1040.0000000,1053.1000000,3752
YNDX,D,20140815,000000,1040.6000000,1060.0000000,1040.0000000,1041.0000000,3461
YNDX,D,20140818,000000,1025.0000000,1038.4000000,1025.0000000,1032.0000000,5929
YNDX,D,20140819,000000,1046.8000000,1100.0000000,1040.0000000,1089.0000000,16771
YNDX,D,20140820,000000,1081.3000000,1116.9000000,1081.3000000,1109.7000000,6577
YNDX,D,20140821,000000,1098.1000000,1103.3000000,1085.7000000,1089.2000000,10737
YNDX,D,20140822,000000,1085.0000000,1085.0000000,1041.0000000,1050.0000000,16800
